country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,170.0,340.0,510.0,680.0,850.0,1020.0,1030.0,20800.0,26200.0,314000.0,557000.0,515000.0,510000.0,1010000.0,1170000.0,1510000.0,1700000.0,1900000.0,2340000.0,2840000.0,3960000.0,4900000.0,5020000.0,5140000.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,112.0,844.0,2830.0,11400.0,17200.0,23000.0,47400.0,67200.0,87200.0,222000.0,302000.0,355000.0,412000.0,518000.0,654000.0,751000.0,1630000.0,2320000.0,5770000.0,3460000.0,3750000.0,4280000.0,4420000.0,4560000.0
Albania,0.0,0.0,0.0,0.0,0.0,348.0,998.0,1510.0,2020.0,2540.0,3570.0,10200.0,12200.0,30300.0,75200.0,187000.0,294000.0,456000.0,716000.0,1220000.0,1330000.0,1440000.0,1590000.0,1660000.0,1740000.0,1830000.0,1920000.0,2069999.9999999998,2069999.9999999998,2009999.9999999998
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,983.0,1960.0,4420.0,4920.0,6890.0,7100.0,7890.0,9910.0,20500.0,29700.0,39600.0,58600.0,58700.0,66300.0,68400.0,67800.0,71200.0,75900.0,76000.0,75600.0,75700.0,70500.0,70500.0,70600.0
UAE,0.0,0.0,0.0,0.0,0.0,2490.0,9530.0,88000.0,194000.0,443000.0,740000.0,868000.0,985000.0,1090000.0,1230000.0,1840000.0,2760000.0,3760000.0,4470000.0,5070000.0,5810000.0,6980000.0,7770000.0,8090000.0,8330000.0,8380000.000000001,8480000.0,9000000.0,9480000.0,9690000.0
Argentina,0.0,0.0,1000.0,10000.0,15000.0,30000.0,50000.0,100000.0,300000.0,1200000.0,2600000.0,3650000.0,4099999.9999999995,4540000.0,6170000.0,6890000.0,8220000.000000001,10300000.0,11300000.0,13800000.0,18400000.0,21100000.0,23300000.0,25300000.0,27600000.0,29300000.0,30900000.0,32600000.0,33000000.0,33299999.999999996
Armenia,0.0,0.0,0.0,0.0,299.0,1700.0,3000.0,3500.0,4000.0,30000.0,39900.0,49800.0,59500.0,138000.0,147000.0,157000.0,167000.0,177000.0,181000.0,442000.0,719000.0,920000.0,1080000.0,1210000.0,1590000.0,1730000.0,1890000.0,1910000.0,1910000.0,1910000.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,1510.0,2010.0,2500.0,2980.0,3960.0,4930.0,6870.0,9790.0,13700.0,19500.0,22000.0,24800.0,28600.0,32500.0,36400.0,41400.0,46400.0,52400.0,58000.0,62700.0,65500.0,69000.0,72500.0,73200.0,73800.0
Australia,99200.0,189000.0,308000.0,348000.0,397000.0,497000.0,596000.0,3010000.0,5730000.0,7660000.0,8880000.0,10100000.0,10200000.0,10300000.0,10500000.0,12700000.0,13500000.0,14500000.0,15300000.0,16200000.0,16800000.0,17900000.0,18100000.0,19400000.0,19800000.0,20200000.0,21000000.0,21300000.0,21500000.0,21800000.0
Austria,10100.0,20100.0,50300.0,60400.0,111000.0,151000.0,554000.0,766000.0,1240000.0,1860000.0,2720000.0,3170000.0,2970000.0,3490000.0,4460000.0,4790000.0,5270000.0,5770000.0,6080000.0,6150000.0,6320000.0,6660000.0,6800000.0,6900000.0,6980000.0,7280000.0,7380000.0,7760000.0,7800000.0,7860000.0
Azerbaijan,0.0,0.0,0.0,0.0,110.0,160.0,499.0,2000.0,3000.0,7990.0,12000.0,25000.0,414000.0,418000.0,422000.0,686000.0,1030000.0,1270000.0,1510000.0,2450000.0,4150000.0000000005,4570000.0,5020000.0,6850000.0,7130000.0,7410000.0,7610000.0,7780000.0,7940000.0,8020000.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,49.0,489.0,980.0,2460.0,4930.0,6920.0,7930.0,13900.0,24900.0,39900.0,50000.0,55000.0,65800.0,75600.0,86800.0,99400.0,113000.0,121000.0,136000.0,494000.0,543000.0,288000.0,297000.0,307000.0
Belgium,101.0,2020.0,10100.0,20200.0,70700.0,101000.0,303000.0,505000.0,807000.0,1410000.0,3030000.0,3230000.0,4800000.0,5210000.0,5640000.0,5890000.0,6340000.0,6890000.0,7110000.0,7600000.0,8199999.999999999,8990000.0,8950000.0,9170000.0,9540000.0,9600000.0,9820000.0,10000000.0,10200000.0,10400000.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1550.0,3100.0,10300.0,15500.0,25700.0,51300.0,71500.0,91600.0,101000.0,126000.0,151000.0,161000.0,200000.0,288000.0,392000.0,438000.0,490000.0,617000.0,1190000.0,1300000.0,2240000.0,2300000.0,2360000.0
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1990.0,4980.0,6970.0,8950.0,18800.0,24700.0,47300.0,52200.0,63100.0,87500.0,107000.0,135000.0,171000.0,375000.0,482000.0,617000.0,1550000.0,1650000.0,2540000.0,2600000.0,3070000.0,3160000.0,3250000.0
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,451.0,902.0,4520.0,45300.0,90700.0,169000.0,185000.0,221000.0,273000.0,336000.0,1410000.0,2570000.0,3610000.0,4520000.0,5460000.0,6720000.0,7550000.0,10100000.0,21500000.0,22500000.0,28500000.0,24000000.0,24200000.0,21000000.0
Bulgaria,0.0,0.0,0.0,201.0,1660.0,10000.0,60100.0,100000.0,150000.0,235000.0,430000.0,604000.0,714000.0,940000.0,1400000.0,1540000.0,2069999.9999999998,2550000.0,2980000.0,3360000.0,3430000.0,3540000.0,3810000.0,3870000.0,4019999.9999999995,4080000.0,4280000.0,4500000.0,4570000.0,4760000.0
Bahrain,0.0,0.0,0.0,0.0,0.0,1950.0,4880.0,9790.0,19800.0,30000.0,40900.0,105000.0,133000.0,168000.0,178000.0,189000.0,271000.0,341000.0,579000.0,628000.0,682000.0,984000.0,1140000.0,1180000.0,1210000.0,1280000.0,1400000.0,1430000.0,1550000.0,1640000.0
Bahamas,0.0,0.0,0.0,0.0,0.0,2690.0,4960.0,3920.0,6790.0,11100.0,23800.0,35700.0,55400.0,62600.0,70200.0,81200.0,86100.0,91100.0,108000.0,118000.0,153000.0,234000.0,261000.0,264000.0,285000.0,292000.0,302000.0,324000.0,328000.0,331000.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,569.0,2220.0,5370.0,7280.0,40600.0,45100.0,99600.0,149000.0,582000.0,803000.0,946000.0,1050000.0,1300000.0,1410000.0,1580000.0,1610000.0,1620000.0,1720000.0,1740000.0,1800000.0,2040000.0,2170000.0,2330000.0,2310000.0
